Index,Assembly_Seat,Seat_Type,Constituency_Name,Bhartiya_Janta_Party,Indian_National_Congress,SHS,AIMIM,LKSGM,VBA,BSP,PJP,SWP,STBP,PWPI,RSPS,CPI(M),BVA,SP,MNS,KSP,JSS,Independent,Strong_Party,BJP,INC,,,UBT,Shivsena,NCP,Sharad_Pawar
140,Kurla,SC,Mumbai_North_Central,,,55049,,,,,,,,,,,,,,,,,,16514.7,10210.8,,,26974.01,11560.29,7147.56,16677.64
141,Kalina,GEN,Mumbai_North_Central,,38388,43319,,,,,,,,,,,,,,,,,,12995.7,26871.6,,,21226.31,9096.99,3454.92,8061.48
142,Vandre_East,GEN,Mumbai_North_Central,,38337,32547,,,,,,,,,,,,,,,,,,9764.1,26835.9,,,15948.03,6834.87,3450.33,8050.77
143,Vandre_West,GEN,Mumbai_North_Central,74816,48309,,,,,,,,,,,,,,,,,,BJP,52371.2,33816.3,,,15711.36,6733.44,4347.81,10144.89
144,Mulund,GEN,Mumbai_North_East,87253,,,,,,,,,,,,,,,,,,,BJP,61077.1,0,,,18323.13,7852.77,0,0
145,Vikhroli,GEN,Mumbai_North_East,,,62794,,,,,,,,,,,,,,,,,,18838.2,0,,,30769.06,13186.74,0,0
146,Bhandup_West,GEN,Mumbai_North_East,,,71955,,,,,,,,,,,,,42782,,,,,21586.5,0,,,35257.95,15110.55,0,0
147,Ghatkopar_West,GEN,Mumbai_North_East,70263,,,,,,,,,,,,,,,,,,41474,,49184.1,0,,,14755.23,6323.67,0,0
148,Ghatkopar_East,GEN,Mumbai_North_East,73054,,,,,,,,,,,,,,,,,,,BJP,51137.8,0,,,15341.34,6574.86,0,0
149,Mankhurd_Shivaji_Nagar,GEN,Mumbai_North_East,,,43481,,,,,,,,,,,,69082,,,,,,13044.3,0,,,21305.69,9131.01,0,0
150,Jogeshwari_East,GEN,Mumbai_North_West,,,90654,,,,,,,,,,,,,,,,,SHS,27196.2,0,,,44420.46,19037.34,0,0
151,Dindoshi,GEN,Mumbai_North_West,,,82203,,,,,,,,,,,,,,,,,SHS,24660.9,0,,,40279.47,17262.63,0,0
152,Goregaon,GEN,Mumbai_North_West,81233,,,,,,,,,,,,,,,,,,,BJP,56863.1,0,,,17058.93,7310.97,0,0
153,Versova,GEN,Mumbai_North_West,41057,35871,,,,,,,,,,,,,,,,,32706,,28739.9,25109.7,,,8621.97,3695.13,3228.39,7532.91
154,Andheri_West,GEN,Mumbai_North_West,65615,45653,,,,,,,,,,,,,,,,,,,45930.5,31957.1,,,13779.15,5905.35,4108.77,9587.13
155,Andheri_East,GEN,Mumbai_North_West,,,62773,,,,,,,,,,,,,,,,45808,,18831.9,0,,,30758.77,13182.33,0,0
156,Worli,GEN,Mumbai_South,,,89248,,,,,,,,,,,,,,,,,SHS,26774.4,0,,,43731.52,18742.08,0,0
157,Shivadi,GEN,Mumbai_South,,,77687,,,,,,,,,,,,,,,,,SHS,23306.1,0,,,38066.63,16314.27,0,0
158,Byculla,GEN,Mumbai_South,,,51180,31157,,,,,,,,,,,,,,,,,15354,0,,,25078.2,10747.8,0,0
159,Malabar_Hill,GEN,Mumbai_South,93538,,,,,,,,,,,,,,,,,,,BJP,65476.6,0,,,19642.98,8418.42,0,0
160,Mumbadevi,GEN,Mumbai_South,,58952,35297,,,,,,,,,,,,,,,,,INC,10589.1,41266.4,,,17295.53,7412.37,5305.68,12379.92
161,Colaba,GEN,Mumbai_South,57350,41191,,,,,,,,,,,,,,,,,,BJP,40145,28833.7,,,12043.5,5161.5,3707.19,8650.11
162,Anushakti_Nagar,GEN,Mumbai_South_Central,,,52466,,,,,,,,,,,,,,,,,,15739.8,19565.1,,,25708.34,11017.86,13695.57,31956.33
163,Chembur,GEN,Mumbai_South_Central,,34246,53264,,,,,,,,,,,,,,,,,,15979.2,23972.2,,,26099.36,11185.44,3082.14,7191.66
164,Dharavi,SC,Mumbai_South_Central,,53954,42130,,,,,,,,,,,,,,,,,,12639,37767.8,,,20643.7,8847.3,4855.86,11330.34
165,Sion_Koliwada,GEN,Mumbai_South_Central,54845,40894,,,,,,,,,,,,,,,,,,,38391.5,28625.8,,,11517.45,4936.05,3680.46,8587.74
166,Wadala,GEN,Mumbai_South_Central,56485,,,,,,,,,,,,,,,,,,,BJP,39539.5,0,,,11861.85,5083.65,0,0
167,Mahim,GEN,Mumbai_South_Central,,,61337,,,,,,,,,,,,,42690,,,,,18401.1,0,,,30055.13,12880.77,0,0
168,Nagpur_South_West,GEN,Nagpur,109237,59893,,,,,,,,,,,,,,,,,,BJP,76465.9,41925.1,,,22939.77,9831.33,5390.37,12577.53
169,Nagpur_South,GEN,Nagpur,84339,80326,,,,,,,,,,,,,,,,,,,59037.3,56228.2,,,17711.19,7590.51,7229.34,16868.46
170,Nagpur_East,GEN,Nagpur,103992,79975,,,,,,,,,,,,,,,,,,BJP,72794.4,55982.5,,,21838.32,9359.28,7197.75,16794.75
171,Nagpur_Central,GEN,Nagpur,75692,71684,,,,,,,,,,,,,,,,,,,52984.4,50178.8,,,15895.32,6812.28,6451.56,15053.64
172,Nagpur_West,GEN,Nagpur,76885,83252,,,,,,,,,,,,,,,,,,,53819.5,58276.4,,,16145.85,6919.65,7492.68,17482.92
173,Nagpur_North,SC,Nagpur,66127,86821,,,,,,,,,,,,,,,,,,,46288.9,60774.7,,,13886.67,5951.43,7813.89,18232.41
174,Bhokar,GEN,Nanded,,140559,,,,,,,,,,,,,,,,,,INC,0,98391.3,,,0,0,12650.31,29517.39
175,Nanded_North,GEN,Nanded,,50778,62884,,,,,,,,,,,,,,,,,,18865.2,35544.6,,,30813.16,13205.64,4570.02,10663.38
