Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,IUML,CPM,INL,CPI,KEC,KEC(M),C(S),LJD,RCP,RMPOI,NCP,INL,NSC,LDF,JD(S),CMPKSC,TTP,KC(J),KC(M),KJ(S),KEC(B),JKC,Independent,Strong_Party
124,Nattika,SC,Thrissur,33716,44499,,,,72930,,,,,,,,,,,,,,,,,,,,
125,Irinjalakuda,GEN,Thrissur,34329,,,62493,,,56544,,,,,,,,,,,,,,,,,,,
126,Puthukkad,GEN,Thrissur,34893,46012,,73365,,,,,,,,,,,,,,,,,,,,,,
127,Thalassery,GEN,Vadakara,,45009,,81810,,,,,,,,,,,,,,,,,,,,,,CPM
128,Kuthuparamba,GEN,Vadakara,,,61085,,,,,,,70626,,,,,,,,,,,,,,,,
129,Vadakara,GEN,Vadakara,,,,,,,,,,57602,,65093,,,,,,,,,,,,,,
130,Kuttiadi,GEN,Vadakara,,,79810,80143,,,,,,,,,,,,,,,,,,,,,,
131,Nadapuram,GEN,Vadakara,,79258,,,,83293,,,,,,,,,,,,,,,,,,,,
132,Quilandy,GEN,Vadakara,,67156,,75628,,,,,,,,,,,,,,,,,,,,,,
133,Perambra,GEN,Vadakara,,,,86023,,,,,,,,,,,,,,,,,,,,,63431,CPM
134,Mananthavady,ST,Wayanad,,63254,,72536,,,,,,,,,,,,,,,,,,,,,,
135,Sulthanbathery,ST,Wayanad,,81077,,69255,,,,,,,,,,,,,,,,,,,,,,
136,Kalpetta,GEN,Wayanad,,70252,,,,,,,,64782,,,,,,,,,,,,,,,,
137,Thiruvambady,GEN,Wayanad,,,63224,67867,,,,,,,,,,,,,,,,,,,,,,
138,Eranad,GEN,Wayanad,,,78076,,,,,,,,,,,,,,,,,,,,,,55530,IUML
139,Nilambur,GEN,Wayanad,,78527,,,,,,,,,,,,,,,,,,,,,,,81227,
140,Wandoor,SC,Wayanad,,87415,,71852,,,,,,,,,,,,,,,,,,,,,,INC
