Index,Assembly_Seat,Seat_Type,Constituency_Name,INC,SP,BSP,AD(K),AD,NCP,RLD,SBSP,NINSHAD,JDL,AAP,AIMIM,VIP,PMSP,JANADIP,Independent,Strong_Party,BJP
324,Sahajanwa,GEN,Gorakhpur,,62575,43905,,,,,,,,,,,,,,,105981
228,Hamirpur,GEN,Hamirpur,,79947,47299,,,,,,,,,,,,,,,105432
229,Rath,SC,Hamirpur,,77394,,,,,,,,,,,,,,,BJP,47299
230,Mahoba,GEN,Hamirpur,,51043,38296,,,,,,,,,,,,,,,94490
231,Charkhari,GEN,Hamirpur,,60170,41087,,,,,,,,,,,,,,,102051
232,Tindwari,GEN,Hamirpur,,58387,39450,,,,,,,,,,,,,,,86812
154,Sawayazpur,GEN,Hardoi,,88576,,,,,,,,,,,,,,,,114263
155,Shahabad,GEN,Hardoi,,88082,37475,,,,,,,,,,,,,,BJP,94561
156,Hardoi,GEN,Hardoi,,84339,,,,,,,,,,,,,,,,126750
157,Gopamau,SC,Hardoi,,83764,31715,,,,,,,,,,,,,,,91762
158,Sandi,SC,Hardoi,,72286,30576,,,,,,,,,,,,,,,81519
74,Chharra,GEN,Hathras,,86966,37558,,,,,,,,,,,,,,,111293
77,Iglas,SC,Hathras,,,37980,,,,68046,,,,,,,,,,,127209
78,Hathras,SC,Hathras,,47185,53799,,,,,,,,,,,,,,BJP,154655
79,Sadabad,GEN,Hathras,,,32555,,,,104874,,,,,,,,,,,98437
80,Sikandra Rao,GEN,Hathras,,89990,41781,,,,,,,,,,,,,,,98094
208,Bhognipur,GEN,Jalaun,,75916,47332,,,,,,,,,,,,,,,87809
219,Madhaugarh,GEN,Jalaun,,63035,70257,,,,,,,,,,,,,,,105231
220,Kalpi,GEN,Jalaun,,69782,64683,,,,,,66966,,,,,,,,,
221,Orai,SC,Jalaun,,90996,38638,,,,,,,,,,,,,,,128644
225,Garautha,GEN,Jalaun,,80397,29333,,,,,,,,,,,,,,,114059
364,Badlapur,GEN,Jaunpur,,81065,34792,,,,,,,,,,,,,,,82391
365,Shahganj,GEN,Jaunpur,,86514,48957,,,,,87233,,,,,,,,,,
366,Jaunpur,GEN,Jaunpur,,89708,30579,,,,,,,,,,,,,,,97760
367,Malhani,GEN,Jaunpur,,,38803,,,,,78995,,,,,,,,,,73481
368,Mungra Badshahpur,GEN,Jaunpur,,92048,32597,,,,,,,,,,,,,,,86818
222,Babina,GEN,Jhansi,,73814,30540,,,,,,,,,,,,,,BJP,118343
223,Jhansi Nagar,GEN,Jhansi,,71909,,,,,,,,,,,,,,,BJP,148262
224,Mauranipur,SC,Jhansi,,84982,32641,,143577,,,,,,,,,,,,AD,
226,Lalitpur,GEN,Jhansi,,68597,69335,,,,,,,,,,,,,,BJP,176550
227,Mehroni,SC,Jhansi,,58381,74327,,,,,,,,,,,,,,BJP,184778
2,Nakur,GEN,Kairana,,103799,55112,,,,,,,,,,,,,,,104114
7,Gangoh,GEN,Kairana,,93133,55078,,,,,,,,,,,,,,,116582
8,Kairana,GEN,Kairana,,131035,,,,,,,,,,,,,,,SP,105148
9,Thana Bhawan,GEN,Kairana,,,,,,,103751,,,,,,,,,,,92945
10,Shamli,GEN,Kairana,,,,,,,103070,,,,,,,,,,,95963
287,Payagpur,GEN,Kaiserganj,,98106,,,,,,,,,,,,,,,,110162
288,Kaiserganj,GEN,Kaiserganj,,"103135	",,,,,,,,,,,,,,,,95424
297,Katra Bazar,GEN,Kaiserganj,,93834,,,,,,,,,,,,,,,,112291
298,Colonelganj,GEN,Kaiserganj,,72637,,,,,,,,,,,,,,,BJP,108109
299,Tarabganj,GEN,Kaiserganj,,71635,,,,,,,,,,,,,,,BJP,125325
196,Chhibramau,GEN,Kannauj,,123662,,,,,,,,,,,,,,,,124773
197,Tirwa,GEN,Kannauj,,101481,,,,,,,,,,,,,,,,106089
198,Kannauj,SC,Kannauj,,114786,,,,,,,,,,,,,,,,120876
202,Bidhuna,GEN,Kannauj,,97257,32220,,,,,,,,,,,,,,,89492
205,Rasulabad,SC,Kannauj,,70271,28189,,,,,,,,,,,,,,,91783
212,Govindnagar,GEN,Kanpur,26267,36605,,,,,,,,,,,,,,,BJP,117501
213,Sishamau,GEN,Kanpur,,79163,,,,,,,,,,,,,,,SP,66897
214,Arya Nagar,GEN,Kanpur,,76897,,,,,,,,,,,,,,,SP,68973
215,Kidwai Nagar,GEN,Kanpur,76351,,,,,,,,,,,,,,,,BJP,114111
216,Kanpur Cantt,GEN,Kanpur,,94729,,,,,,,,,,,,,,,SP,74742
245,Babaganj,SC,Kaushambi,,51515,,,,,,,,67282,,,,,,,,30391
246,Kunda,GEN,Kaushambi,,69297,,,,,,,,99612,,,,,,,JDS,
251,Sirathu,GEN,Kaushambi,,106278,,,,,,,,,,,,,,,,98941
252,Manjhanpur,SC,Kaushambi,,121506,25430,,,,,,,,,,,,,,,97628
253,Chail,GEN,Kaushambi,,75609,31362,,88818,,,,,,,,,,,,,
137,Palia,GEN,Kheri,,80735,,,,,,,,,,,,,,,BJP,118864
138,Nighasan,GEN,Kheri,,85479,,,,,,,,,,,,,,,BJP,126488
139,Gola Gokrannath,GEN,Kheri,,97240,,,,,,,,,,,,,,,,126534
140,Sri Nagar,SC,Kheri,,90641,23091,,,,,,,,,,,,,,,108249
142,Lakhimpur,GEN,Kheri,,107085,,,,,,,,,,,,,,,,127663
329,Khadda,GEN,Kushinagar,,,,,,,,21126,88291,,,,,,,46840,,
330,Padrauna,GEN,Kushinagar,,72488,,,,,,,,,,,,,,,BJP,114496
333,Kushinagar,GEN,Kushinagar,,80478,,,,,,,,,,,,,,,BJP,115268
334,Hata,GEN,Kushinagar,,61301,21723,,,,,,,,,,,,,,BJP,120666
335,Ramkola,SC,Kushinagar,,23038,,,,,,52249,,,,,,,,,BJP,124792
343,Atrauliya,GEN,Lalganj,,91502,51293,,,,,,74255,,,,,,,,,
348,Nizamabad,GEN,Lalganj,,79835,44657,,,,,,,,,,,,,,,45648
349,Phoolpur-Pawai,GEN,Lalganj,,81164,49495,,,,,,,,,,,,,,,55858
350,Didarganj,GEN,Lalganj,,74342,47094,,,,,,,,,,,,,,,60781
351,Lalganj,SC,Lalganj,,83767,57809,,,,,,,,,,,,,,,69034
171,Lucknow West,GEN,Lucknow,,124497,,,,,,,,,,,,,,,,116313
172,Lucknow North,GEN,Lucknow,,105206,,,,,,,,,,,,,,,BJP,139159
173,Lucknow East,GEN,Lucknow,,84197,,,,,,,,,,,,,,,BJP,152928
174,Lucknow Central,GEN,Lucknow,,104488,,,,,,,,,,,,,,,,93553
175,Lucknow Cantt,GEN,Lucknow,,68635,,,,,,,,,,,,,,,BJP,108147
369,Machhlishahr,SC,Machhlishahr,,91659,35059,,,,,,,,,,,,,,,83175
370,Mariyahu,GEN,Machhlishahr,,74801,32783,,76007,,,,,,,,,,,,,
371,Zafrabad,GEN,Machhlishahr,,,35234,,,,,90620,,,,,,,,,,84328
372,Kerakat,SC,Machhlishahr,,94022,51633,,,,,,,,,,,,,,,84178
384,Pindra,GEN,Machhlishahr,48248,,48766,,33020,,,,,,,,,,,,,44530
315,Pharenda,GEN,Maharajganj,85181,,21665,,,,,,,,,,,,,,,83935
316,Nautanwa,GEN,Maharajganj,,74932,46128,,,,,,90263,,,,,,,,,
317,Siswa,GEN,Maharajganj,,64942,33498,,,,,,,,,,,,,,BJP,127673
318,Maharajganj,SC,Maharajganj,,,,,,,,,,,,,,,,59168,,136071
319,Paniyra,GEN,Maharajganj,,74035,34829,,,,,,,,,,,,,,,135463
107,Mainpuri,GEN,Mainpuri,,93048,,,,,,,,,,,,,,,,99814
108,Bhongaon,GEN,Mainpuri,,92441,,,,,,,,,,,,,,,,97208
109,Kishni,SC,Mainpuri,,97070,,,,,,,,,,,,,,,,77919
110,Karhal,GEN,Mainpuri,,148196,,,,,,,,,,,,,,,SP,80692
199,Jaswantnagar,GEN,Mainpuri,,159718,,,,,,,,,,,,,,,SP,68739
81,Chhata,GEN,Mathura,,,30214,,,,75466,,,,,,,,,,BJP,124414
82,Mant,GEN,Mathura,,60585,74378,,,,,,,,,,,,,,,83958
83,Goverdhan,GEN,Mathura,,,57692,,,,55679,,,,,,,,,,,100199
84,Mathura,GEN,Mathura,49056,,31551,,,,,,,,,,,,,,BJP,158859
85,Baldev,SC,Mathura,,,48370,,,,83159,,,,,,,,,,,31551
46,Kithore,GEN,Meerut,,107104,31213,,,,,,,,,,,,,,,104924
47,Meerut Cantt,GEN,Meerut,,,28519,,,,43960,,,,,,,,,,BJP,162032
48,Meerut,GEN,Meerut,,106395,,,,,,,,,,,,,,,SP,80330
49,Meerut South,GEN,Meerut,,121725,39857,,,,,,,,,,,,,,,129667
59,Hapur,SC,Meerut,,,50751,,,,90828,,,,,,,,,,,97862
395,Chhanbey,SC,Mirzapur,,64389,32145,,102502,,,,,,,,,,,,,
396,Mirzapur,GEN,Mirzapur,,78766,,,,,,,,,,,,,,,,118642
397,Majhawan,GEN,Mirzapur,,69648,52990,,,,,,103235,,,,,,,,,
398,Chunar,GEN,Mirzapur,,,29389,63366,,,,,,,,,,,,,,110980
399,Marihan,GEN,Mirzapur,,42007,42466,23982,,,,,,,,,,,,,,105377
153,Misrikh,SC,Misrikh,,,34654,,,,,79627,,,,,,,,,,91092
159,Bilgram-Mallanwan,GEN,Misrikh,52398,57185,35764,,,,,,,,,,,,,,,82075
160,Balamau,SC,Misrikh,,55750,42551,,,,,,,,,,,,,,,81994
161,Sandila,GEN,Misrikh,,,64627,,,,,24655,,,,,,,,,BJP,101730
209,Bilhaur,SC,Misrikh,,80743,31426,,,,,,,,,,,,,,BJP,123094
152,Sidhauli,SC,Mohanlalganj,,96506,31530,,,,,,,,,,,,,,,106222
168,Malihabad,SC,Mohanlalganj,,98627,25914,,,,,,,,,,,,,,,106372
169,Bakshi Kaa Talab,GEN,Mohanlalganj,,120134,35167,,,,,,,,,,,,,,,147922
170,Sarojini Nagar,GEN,Mohanlalganj,,104440,33356,,,,,,,,,,,,,,,160626
176,Mohanlalganj,SC,Mohanlalganj,,90541,31623,,,,,,,,,,,,,,,107089
19,Barhapur,GEN,Moradabad,,85755,46638,,,,,,,,,,,,,,,100100
25,Kanth,GEN,Moradabad,,134692,36341,,,,,,,,,,,,,,,91514
26,Thakurdwara,GEN,Moradabad,,134391,,,,,,,,,,,,,,,,114707
27,Moradabad Rural,GEN,Moradabad,,143337,,,,,,,,,,,,,,,SP,86517
28,Moradabad Nagar,GEN,Moradabad,,147602,,,,,,,,,,,,,,,,148384
11,Budhana,GEN,Muzaffarnagar,,,,,,,131093,,,,,,,,,,RLD,102783
12,Charthawal,GEN,Muzaffarnagar,,97363,25131,,,,,,,,,,,,,,,92029
14,Muzaffar Nagar,GEN,Muzaffarnagar,,,,,,,93100,,,,,,,,,,,111794
