Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,RLP,RLD,BSP,CPI(M),JJP,AAP,BTP,JSR,VM,SS,ASPKR,RSHTRJNTS,BHRTADVSIP,Independent,Strong_Party
116,Jaitaran,GEN,Rajsamand,66277,52751,,,,,,,,,,,28067,,,40539,
173,Bhim,GEN,Rajsamand,93905,62137,,,,,,,,,,,,,,,BJP
174,Kumbhalgarh,GEN,Rajsamand,78133,56073,,,,,,,,,,,,,,,BJP
175,Rajsamand,GEN,Rajsamand,94043,62081,,,,,,,,,,,,,,,BJP
176,Nathdwara,GEN,Rajsamand,94950,87446,,,,,,,,,,,,,,,BJP
33,Lachhmangarh,GEN,Sikar,94334,113304,,,,,,,,,,,,,,,INC
34,Dhod,SC,Sikar,85543,34487,,,,72165,,,,,,,,,,,
35,Sikar,GEN,Sikar,67123,97161,,,,,,,,,,,,,,40782,
36,Danta_Ramgarh,GEN,Sikar,91416,99413,,,,,,,,,,,,,,,
37,Khandela,GEN,Sikar,114236,71597,,,,,,,,,,,,,,,BJP
38,Neem_Ka_Thana,GEN,Sikar,72788,105878,,,,,,,,,,,,,,,BJP
39,Srimadhopur,GEN,Sikar,81080,66621,,,,,,,,,,,,,,41588,
43,Chomu,GEN,Sikar,80051,85746,42369,,,,,,,,,,,,,,
90,Gangapur,GEN,Tonk–Sawai_Madhopur,64189,83457,,,,,,,,,,,,,,29679,
91,Bamanwas,ST,Tonk–Sawai_Madhopur,72513,80378,,,,,,,,,,,,,,,INC
92,Sawai_Madhopur,GEN,Tonk–Sawai_Madhopur,81087,58577,,,,,,,,,,,,,,36251,
93,Khandar,SC,Tonk–Sawai_Madhopur,92059,78044,,,,,,,,,,,,,,,BJP
94,Malpura,GEN,Tonk–Sawai_Madhopur,85915,69726,,,,,,,,,,,,,,48184,
95,Niwai,SC,Tonk–Sawai_Madhopur,92775,79834,20362,,,,,,,,,,,,,,
96,Tonk,GEN,Tonk–Sawai_Madhopur,76337,105812,,,,,,,,,,,,,,,INC
97,Deoli-Uniara,GEN,Tonk–Sawai_Madhopur,85826,105001,,,,,,,,,,,,,,,
149,Gogunda,ST,Udaipur,87827,84162,,,,,,,,,,,,,,,
150,Jhadol,ST,Udaipur,76537,70049,,,,,,,,,,,,,44503,,
151,Kherwara,ST,Udaipur,60098,77342,,,,,,,53290,,,,,,,,
152,Udaipur_Rural ,ST,Udaipur,103039,75694,,,,,,,,,,,,,25172,,
153,Udaipur,GEN,Udaipur,97466,64695,,,,,,,,,,,,,,,BJP
156,Salumber,ST,Udaipur,80086,65395,,,,,,,,,,,,,51691,,
157,Dhariawad,ST,Udaipur,76964,46449,,,,,,,,,,,,,83655,,
159,Aspur,ST,Udaipur,,91623,,,,,,,,,,,,,,98446,
