Index,Assembly_Seat,Seat_Type,Constituency_Name,BJP,INC,JDU,RJD,CPI,VIP,CPM,CPI,AIMIM,LJNSP,BLSP,JVP,BSP,HAM,Independent,Strong_Party
182,Kalyanpur,GEN,Purvi_Champaran,71626,,72819,,,,,,,,,,,,,
183,Pipra,GEN,Purvi_Champaran,88587,,,,,,80410,,,,,,,,,
184,Motihari,GEN,Purvi_Champaran,92733,,,78088,,,,,,,,,,,,
185,Kusheshwar_Asthan ,SC,Samastipur,,,59887,47192,,,,,,,,,,,,
186,Hayaghat,GEN,Samastipur,67030,,,56778,,,,,,,,,,,,
187,Kalyanpur ,SC,Samastipur,,,72279,,62028,,,,,,,,,,,
188,Warisnagar,GEN,Samastipur,,,68356,,54555,,,,,,,,,,,
189,Samastipur,GEN,Samastipur,,,63793,68507,,,,,,,,,,,,
190,Rosera ,SC,Samastipur,87163,51419,,,,,,,,,,,,,,
191,Marhaura,GEN,Saran,,,48427,59812,,,,,,,,,,,,
192,Chapra,GEN,Saran,75710,,,68939,,,,,,,,,,,,
193,Garkha ,SC,Saran,73475,,,83412,,,,,,,,,,,,
194,Amnour,GEN,Saran,63316,,,59635,,,,,,,,,,,,
195,Parsa,GEN,Saran,,,51023,68316,,,,,,,,,,,,
196,Sonepur,GEN,Saran,66561,,,73247,,,,,,,,,,,,
197,Mohania ,SC,Sasaram,49181,,,61235,,,,,,,39588,,,,,
198,Bhabua,GEN,Sasaram,47515,,,57561,,,,,,,37014,,,,,
199,Chainpur,GEN,Sasaram,70951,,,,,,,,,,,,95245,,,
200,Chenari ,SC,Sasaram,,71701,53698,,,,,,,,,,,,,
201,Sasaram,GEN,Sasaram,,,56880,83303,,,,,,,,,,,,
202,Kargahar,GEN,Sasaram,,59763,55680,,,,,,,,,,47321,,,
203,Madhuban,GEN,Sheohar,73179,,,67301,,,,,,,,,,,,
204,Chiraia,GEN,Sheohar,62904,,,46030,,,,,,,,,,,,
205,Dhaka,GEN,Sheohar,99792,,,88678,,,,,,,,,,,,
206,Sheohar,GEN,Sheohar,,,36457,73143,,,,,,,,,,,,
207,Riga,GEN,Sheohar,95226,62731,,,,,,,,,,,,,,
208,Belsand,GEN,Sheohar,,,35997,49682,,,,,,,,,,,,
209,Bathnaha ,SC,Sitamarhi,92648,45830,,,,,,,,,,,,,,
210,Parihar,GEN,Sitamarhi,73420,,,71851,,,,,,,,,,,,
211,Sursand,GEN,Sitamarhi,,,67193,58317,,,,,,,,,,,,
212,Bajpatti,GEN,Sitamarhi,,,68779,71483,,,,,,,,,,,,
213,Sitamarhi,GEN,Sitamarhi,90236,,,78761,,,,,,,,,,,,
214,Runnisaidpur,GEN,Sitamarhi,,,73205,48576,,,,,,,,,,,,
215,Siwan,GEN,Siwan,74812,,,76785,,,,,,,,,,,,
216,Ziradei,GEN,Siwan,,,43932,,69442,,,,,,,,,,,
217,Darauli ,SC,Siwan,68948,,,,81067,,,,,,,,,,,
218,Raghunathpur,GEN,Siwan,,,,67757,,,,,,49792,,,,,,
219,Daraunda,GEN,Siwan,71934,,,,60614,,,,,,,,,,,
220,Barharia,GEN,Siwan,,,68234,71793,,,,,,,,,,,,
221,Nirmali,GEN,Supaul,,,92439,48517,,,,,,,,,,,,
222,Pipra,GEN,Supaul,,,82388,63143,,,,,,,,,,,,
223,Supaul,GEN,Supaul,,58075,86174,,,,,,,,,,,,,JD(U)
224,Triveniganj ,SC,Supaul,,,79458,76427,,,,,,,,,,,,
225,Chhatapur,GEN,Supaul,93755,,,73120,,,,,,,,,,,,
226,Singheshwar ,SC,Supaul,,,80608,86181,,,,,,,,,,,,
227,Patepur ,SC,Ujiarpur,86509,,,60670,,,,,,,,,,,,
228,Ujiarpur,GEN,Ujiarpur,,,67333,90601,,,,,,,,,,,,
229,Morwa,GEN,Ujiarpur,,,48883,59554,,,,,,,,,,,,
230,Sarairanjan,GEN,Ujiarpur,,,72666,69042,,,,,,,,,,,,
231,Mohiuddinnagar,GEN,Ujiarpur,70385,,,55271,,,,,,,,,,,,
232,Bibhutipur,GEN,Ujiarpur,,,33326,,,,73822,,,,,,,,,
233,Kanti,GEN,Vaishali,,,,64458,,,,,,,,,,,54144,
234,Baruraj,GEN,Vaishali,87407,,,43753,,,,,,,,,,,,BJP
235,Paroo,GEN,Vaishali,77392,,,,,,,,,,,,,,62694,
236,Sahebganj,GEN,Vaishali,,,,65870,,81203,,,,,,,,,,
237,Vaishali,GEN,Vaishali,,62367,69780,,,,,,,,,,,,,
238,Valmiki_Nagar,GEN,Valmiki_Nagar,,53321,74906,,,,,,,,,,,,,
239,Ramnagar ,SC,Valmiki_Nagar,75423,59627,,,,,,,,,,,,,,
240,Narkatiaganj,GEN,Valmiki_Nagar,75484,54350,,,,,,,,,,,,,,
241,Bagaha,GEN,Valmiki_Nagar,90013,59993,,,,,,,,,,,,,,BJP
242,Lauriya,GEN,Valmiki_Nagar,77927,,,48923,,,,,,,,,,,,
243,Sikta,GEN,Valmiki_Nagar,,,35798,,49075,,,,,,,,,,46773,
